Facility_ID,Hospital_Name,Detailed_Region,Region,Procedure,Year_of_Hospital_Discharge,Number_of_Cases,Number_of_Deaths,Observed_Mortality_Rate,Expected_Mortality_Rate,Risk_Adjusted_Mortality_Rate,Lower_Limit_of_Confidence_Interval,Upper_Limit_of_Confidence_Interval,Comparison_Results,Start_Year,End_Year,Mid_Year,Comparison_Results_Category,Is_Higher_Than_Expected_Mortality,Is_Lower_Than_Expected_Mortality,Is_As_Expected_Mortality,Observed_vs_Expected_Difference,Observed_vs_RiskAdjusted_Difference
1,Albany Med. Ctr,Capital District,Capital District,All PCI,2016,680,17,2.5,1.52,2.03,1.18,3.26,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,0.98,0.4700000000000002
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2015,338,1,0.3,0.64,0.34,0.0,1.91,Rate not different than Statewide Rate,2015,2015,2015,Rate not different than Statewide Rate,False,False,True,-0.34,-0.040000000000000036
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,All PCI,2010,448,4,0.89,0.89,0.84,0.23,2.16,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.0,0.050000000000000044
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,All PCI,2010,1762,11,0.62,0.7,0.75,0.38,1.35,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.07999999999999996,-0.13
1178,Bronx-Lebanon-Cncourse,Bronx,NY Metro - NYC,All PCI,2010,65,4,6.15,2.41,2.15,0.58,5.5,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,3.74,4.0
1286,Brookdale Hosp Med Ctr,Kings,NY Metro - NYC,All PCI,2010,338,9,2.66,1.36,1.65,0.75,3.13,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,1.3,1.0100000000000002
116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,All PCI,2016,306,3,0.98,1.8,0.68,0.14,1.97,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.8200000000000001,0.29999999999999993
746,Bassett Medical Center,Capital District,Capital District,All PCI,2016,570,8,1.4,1.09,1.59,0.68,3.13,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,0.30999999999999983,-0.19000000000000017
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,2151,51,2.37,3.09,2.33,1.73,3.06,Rate not different than Statewide Rate,2013,2015,2014,Rate not different than Statewide Rate,False,False,True,-0.7199999999999998,0.040000000000000036
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,All PCI,2016,456,7,1.54,1.7,1.12,0.45,2.31,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.15999999999999992,0.41999999999999993
1178,BronxCare Health System,Bronx,NY Metro - NYC,All PCI,2016,186,2,1.08,1.2,1.11,0.12,4.0,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.11999999999999988,-0.030000000000000027
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,All PCI,2010,405,3,0.74,0.89,0.7,0.14,2.03,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.15000000000000002,0.040000000000000036
1286,Brookdale Univ Hosp Med Ctr,Kings,NY Metro - NYC,All PCI,2016,222,4,1.8,2.6,0.86,0.23,2.2,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.8,0.9400000000000001
207,Buffalo General Med Ctr,Western NY - Buffalo,Western NY - Buffalo,All PCI,2016,1545,20,1.29,1.1,1.45,0.89,2.25,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,0.18999999999999995,-0.15999999999999992
1005,Glens Falls Hospital,Capital District,Capital District,All PCI,2010,229,1,0.44,0.63,0.59,0.01,3.26,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.19,-0.14999999999999997
977,Cayuga Med Ctr Ithaca,Central NY,Central NY,All PCI,2016,142,3,2.11,2.16,1.21,0.24,3.53,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.050000000000000266,0.8999999999999999
636,Crouse Hospital,Central NY,Central NY,All PCI,2016,389,10,2.57,1.37,2.33,1.11,4.28,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,1.1999999999999997,0.23999999999999977
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,1200,28,2.33,3.08,2.3,1.53,3.32,Rate not different than Statewide Rate,2013,2015,2014,Rate not different than Statewide Rate,False,False,True,-0.75,0.03000000000000025
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,All PCI,2010,193,5,2.59,2.43,0.9,0.29,2.09,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.1599999999999997,1.69
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,All PCI,2010,2740,13,0.47,0.57,0.71,0.38,1.21,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.09999999999999998,-0.24
1630,Long Island Jewish MC,Queens,NY Metro - NYC,All PCI,2010,2019,13,0.64,0.65,0.84,0.44,1.43,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.010000000000000009,-0.19999999999999996
1304,Lutheran Medical Ctr,Kings,NY Metro - NYC,All PCI,2010,333,6,1.8,1.11,1.36,0.5,2.96,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.69,0.43999999999999995
829,Ellis Hospital,Capital District,Capital District,All PCI,2016,521,9,1.73,1.26,1.7,0.77,3.22,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,0.47,0.030000000000000027
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,All PCI,2010,1179,9,0.76,1.38,0.46,0.21,0.88,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.6199999999999999,0.3
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,1539,5,0.32,0.58,0.42,0.13,0.97,Rate not different than Statewide Rate,2015,2015,2015,Rate not different than Statewide Rate,False,False,True,-0.25999999999999995,-0.09999999999999998
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,All PCI,2016,388,4,1.03,0.97,1.31,0.35,3.37,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,0.06000000000000005,-0.28
1169,Montefiore - Moses,Bronx,NY Metro - NYC,All PCI,2010,757,9,1.19,0.74,1.35,0.61,2.56,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.44999999999999996,-0.16000000000000014
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,All PCI,2010,640,14,2.19,0.92,2.0,1.09,3.36,Rate significantly higher than Statewide Rate,2010,2010,2010,Rate significantly higher than Statewide Rate,False,False,False,1.27,0.18999999999999995
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,All PCI,2010,4777,20,0.42,0.62,0.57,0.35,0.87,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.2,-0.14999999999999997
1637,NY Hospital - Queens,Queens,NY Metro - NYC,All PCI,2010,741,8,1.08,0.96,0.94,0.41,1.86,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.1200000000000001,0.14000000000000012
1306,NY Methodist Hospital,Kings,NY Metro - NYC,All PCI,2010,1453,10,0.69,0.69,0.84,0.4,1.55,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.0,-0.15000000000000002
1464,NYP- Columbia Presby.,Manhattan,NY Metro - NYC,All PCI,2010,2856,22,0.77,0.8,0.81,0.51,1.22,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.030000000000000027,-0.040000000000000036
1458,NYP- Weill Cornell,Manhattan,NY Metro - NYC,All PCI,2010,1346,15,1.11,1.19,0.79,0.44,1.3,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.07999999999999985,0.32000000000000006
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,All PCI,2010,1186,4,0.34,0.61,0.46,0.12,1.19,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.26999999999999996,-0.12
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2015,232,2,0.86,1.17,0.55,0.06,1.98,Rate not different than Statewide Rate,2015,2015,2015,Rate not different than Statewide Rate,False,False,True,-0.30999999999999994,0.30999999999999994
1005,Glens Falls Hospital,Capital District,Capital District,All PCI,2016,235,3,1.28,1.53,1.03,0.21,3.02,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.25,0.25
779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2016,513,6,1.17,1.61,0.9,0.33,1.96,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.44000000000000017,0.2699999999999999
925,Good Sam-West Islip,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,1045,11,1.05,0.72,1.8,0.9,3.23,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,0.33000000000000007,-0.75
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,444,12,2.7,2.5,3.28,1.69,5.74,Rate not different than Statewide Rate,2013,2015,2014,Rate not different than Statewide Rate,False,False,True,0.20000000000000018,-0.5799999999999996
913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,559,9,1.61,0.96,2.07,0.95,3.93,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,0.6500000000000001,-0.45999999999999974
